sexo,idade,cor,MSAU051,escolaridade,formacao
Feminino,28,Parda,Sim,Ensino superior completo,Direito
Feminino,40,Branca,Sim,Ensino superior incompleto,-
Feminino,49,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,50,Branca,Sim,Ensino superior incompleto,-
Feminino,38,Branca,Sim,Ensino superior completo,Direito
Masculino,34,Branca,Não,Especialização,Terapia ocupacional
Feminino,58,Branca,Sim,Ensino superior completo,Assistência social
Feminino,41,Branca,Não,Ensino superior incompleto,-
Masculino,47,Preta,Não,Mestrado,Sociologia
Feminino,27,Parda,Não,Ensino superior completo,Pedagogia
Feminino,37,Branca,Não,Ensino superior completo,Sociologia
Feminino,41,Parda,Sim,Ensino superior completo,Jornalismo
Feminino,48,Branca,Não,Especialização,Administração
Feminino,60,Branca,Não,Ensino superior completo,Pedagogia
Feminino,36,Branca,Sim,Ensino superior completo,Direito
Masculino,37,Parda,Sim,Ensino fundamental (1º Grau) completo,-
Masculino,59,Branca,Sim,Ensino superior completo,Administração
Masculino,42,Branca,Não,Ensino médio (2º Grau) completo,-
Feminino,48,Branca,Sim,Ensino superior completo,Assistência social
Feminino,50,Branca,Sim,Especialização,Assistência social
Masculino,33,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,49,Branca,Sim,Ensino superior completo,Administração
Feminino,32,Branca,Sim,Ensino superior completo,Assistência social
Masculino,42,Branca,Sim,Ensino médio (2º Grau) completo,-
Feminino,27,Parda,Sim,Especialização,Pedagogia
Feminino,79,Branca,Não,Mestrado,Assistência social
Feminino,55,Parda,Sim,Ensino superior incompleto,-
Masculino,36,Branca,Não,Ensino superior completo,Administração
Feminino,41,Parda,Sim,Especialização,Sociologia
Feminino,52,Parda,Sim,Ensino superior incompleto,-
Feminino,29,Branca,Sim,Especialização,Direito
Feminino,51,Branca,Sim,Ensino superior completo,Administração
Feminino,40,Branca,Não,Ensino médio (2º Grau) completo,-
Masculino,48,Branca,Sim,Ensino médio (2º Grau) completo,-
Feminino,55,Parda,Não,Especialização,Direito
Feminino,32,Branca,Sim,Especialização,Psicologia
Feminino,43,Branca,Não,Doutorado,Sociologia
Masculino,34,Branca,Não,Ensino superior completo,Pedagogia
Feminino,59,Branca,Não,Especialização,Pedagogia
Masculino,45,Branca,Não,Mestrado,Administração
Feminino,40,Branca,Sim,Especialização,Pedagogia
Feminino,38,Branca,Sim,Especialização,Pedagogia
Masculino,46,Branca,Sim,Especialização,Jornalismo
Masculino,42,Branca,Sim,Ensino superior completo,Jornalismo
Masculino,26,Parda,Sim,Especialização,Enfermagem
Feminino,39,Branca,Sim,Especialização,Administração
Masculino,38,Parda,Não,Especialização,Enfermagem
Feminino,40,Parda,Sim,Especialização,Administração
Feminino,36,Branca,Sim,Especialização,Pedagogia
Masculino,48,Parda,Sim,Especialização,Enfermagem
Masculino,36,Parda,Sim,Ensino superior completo,Terapia ocupacional
Feminino,40,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,46,Parda,Sim,Ensino superior completo,Sociologia
Feminino,40,Branca,Não,Ensino superior completo,Pedagogia
Feminino,38,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,31,Parda,Sim,Especialização,Pedagogia
Feminino,31,Branca,Não,Ensino superior completo,Assistência social
Feminino,29,Branca,Sim,Especialização,Administração
Masculino,39,Branca,Sim,Ensino superior completo,Assistência social
Masculino,64,Branca,Não,Ensino superior incompleto,-
Feminino,31,Branca,Sim,Ensino superior completo,Jornalismo
Feminino,24,Parda,Não,Ensino superior completo,Pedagogia
Feminino,65,Parda,Não,Especialização,Sociologia
Feminino,31,Parda,Sim,Especialização,Assistência social
Feminino,25,Parda,Sim,Especialização,Pedagogia
Masculino,36,Branca,Não,Especialização,Medicina
Feminino,66,Parda,Sim,Mestrado,Sociologia
Feminino,42,Branca,Não,Ensino superior completo,Administração
Feminino,59,Branca,Não,Ensino superior completo,Sociologia
Masculino,60,Branca,Sim,Especialização,Terapia ocupacional
Feminino,41,Branca,Não,Especialização,Administração
Feminino,34,Parda,Sim,Especialização,Pedagogia
Masculino,28,Parda,Sim,Ensino superior completo,Administração
Masculino,28,Parda,Sim,Especialização,Pedagogia
Feminino,42,Parda,Sim,Especialização,Sociologia
Masculino,38,Parda,Sim,Ensino superior completo,Administração
Feminino,27,Branca,Sim,Ensino superior completo,Direito
Feminino,49,Parda,Não,Especialização,Pedagogia
Feminino,32,Parda,Não,Ensino superior completo,Pedagogia
Feminino,40,Parda,Sim,Especialização,Pedagogia
Masculino,57,Branca,Não,Ensino superior completo,Assistência social
Masculino,48,Branca,Não,Especialização,Assistência social
Feminino,67,Branca,Não,Especialização,Enfermagem
Masculino,48,Parda,Sim,Ensino superior completo,Psicologia
Feminino,29,Parda,Não,Ensino superior completo,Enfermagem
Feminino,42,Parda,Sim,Especialização,Administração
Masculino,30,Parda,Sim,Ensino superior completo,Assistência social
Masculino,45,Branca,Não,Ensino superior completo,Administração
Masculino,44,Branca,Sim,Ensino superior incompleto,-
Feminino,27,Parda,Sim,Ensino superior completo,Administração
Feminino,69,Branca,Sim,Especialização,Administração
Feminino,54,Branca,Não,Mestrado,Assistência social
Feminino,33,Branca,Sim,Especialização,Pedagogia
Feminino,23,Parda,Sim,Ensino superior incompleto,-
Masculino,29,Parda,Sim,Especialização,Pedagogia
Masculino,33,Parda,Sim,Ensino superior incompleto,-
Masculino,41,Branca,Sim,Especialização,Nutrição
Feminino,55,Branca,Sim,Especialização,Psicologia
Feminino,59,Branca,Não,Ensino superior completo,Pedagogia
Feminino,46,Parda,Sim,Ensino superior completo,Administração
Feminino,35,Parda,Não,Ensino superior completo,Administração
Feminino,44,Branca,Sim,Mestrado,Jornalismo
Feminino,39,Parda,Sim,Especialização,Sociologia
Masculino,62,Parda,Não,Ensino superior completo,Administração
Feminino,0,Parda,Não,Ensino superior completo,Administração
Feminino,29,Parda,Sim,Especialização,Pedagogia
Masculino,53,Branca,Sim,Ensino superior completo,Assistência social
Feminino,45,Branca,Sim,Especialização,Pedagogia
Feminino,27,Branca,Não,Ensino superior completo,Pedagogia
Masculino,30,Parda,Sim,Ensino superior incompleto,-
Feminino,27,Parda,Sim,Especialização,Pedagogia
Masculino,51,Branca,Não,Ensino médio (2º Grau) completo,-
Feminino,36,Parda,Sim,Ensino superior completo,Sociologia
Masculino,40,Preta,Sim,Especialização,Administração
Masculino,26,Branca,Sim,Especialização,Terapia ocupacional
Masculino,33,Parda,Sim,Ensino superior completo,Administração
Feminino,50,Parda,Sim,Ensino superior completo,Sociologia
Feminino,60,Parda,Sim,Ensino superior completo,Direito
Feminino,33,Branca,Sim,Especialização,Administração
Feminino,29,Branca,Sim,Especialização,Pedagogia
Masculino,32,Amarela,Sim,Especialização,Assistência social
Masculino,34,Branca,Sim,Especialização,Pedagogia
Feminino,23,Branca,Não,Ensino superior incompleto,-
Masculino,38,Branca,Sim,Ensino superior completo,Administração
Feminino,49,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,29,Branca,Sim,Especialização,Pedagogia
Feminino,59,Parda,Sim,Ensino médio (2º Grau) completo,-
Masculino,43,Parda,Sim,Ensino superior incompleto,-
Masculino,37,Parda,Sim,Ensino superior completo,Administração
Feminino,54,Branca,Não,Especialização,Enfermagem
Feminino,38,Parda,Sim,Mestrado,Pedagogia
Masculino,33,Parda,Sim,Especialização,Administração
Feminino,0,Parda,Sim,Ensino médio (2º Grau) completo,-
Masculino,35,Parda,Sim,Especialização,Administração
Feminino,52,Parda,Não,Ensino superior completo,Jornalismo
Masculino,0,Branca,Sim,Mestrado,Jornalismo
Masculino,39,Branca,Sim,Ensino superior completo,Administração
Feminino,36,Parda,Sim,Ensino superior completo,Assistência social
Masculino,56,Branca,Não,Especialização,Enfermagem
Feminino,53,Parda,Sim,Especialização,Pedagogia
Feminino,59,Parda,Não,Ensino superior completo,Sociologia
Feminino,34,Parda,Sim,Ensino superior completo,Administração
Feminino,39,Parda,Sim,Ensino superior completo,Administração
Masculino,53,Branca,Sim,Especialização,Administração
Masculino,32,Preta,Sim,Ensino superior completo,Pedagogia
Feminino,47,Branca,Sim,Especialização,Pedagogia
Masculino,47,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,38,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,51,Parda,Sim,Especialização,Pedagogia
Feminino,37,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,33,Parda,Sim,Especialização,Enfermagem
Feminino,46,Parda,Não,Especialização,Pedagogia
Feminino,34,Indígena,Sim,Especialização,Pedagogia
Feminino,40,Preta,Não,Especialização,Jornalismo
Masculino,36,Branca,Sim,Ensino superior incompleto,-
Masculino,37,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,54,Parda,Não,Ensino superior completo,Pedagogia
Feminino,41,Branca,Sim,Ensino superior completo,Administração
Feminino,25,Parda,Não,Ensino superior incompleto,-
Masculino,35,Branca,Não,Ensino superior completo,Pedagogia
Feminino,36,Parda,Não,Especialização,Pedagogia
Masculino,42,Parda,Sim,Mestrado,Sociologia
Feminino,33,Branca,Sim,Ensino superior incompleto,-
Feminino,0,Parda,Sim,Especialização,Pedagogia
Feminino,34,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,57,Branca,Sim,Ensino superior incompleto,-
Feminino,29,Branca,Sim,Ensino superior completo,Direito
Feminino,38,Parda,Sim,Especialização,Administração
Feminino,29,Parda,Sim,Ensino superior completo,Direito
Masculino,31,Branca,Sim,Ensino superior completo,Administração
Feminino,40,Branca,Não,Ensino superior completo,Pedagogia
Feminino,58,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,32,Branca,Sim,Ensino superior completo,Direito
Feminino,39,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,36,Parda,Não,Ensino superior completo,Sociologia
Feminino,33,Branca,Não,Especialização,Pedagogia
Feminino,34,Branca,Não,Especialização,Pedagogia
Feminino,54,Branca,Sim,Especialização,Direito
Feminino,37,Branca,Não,Ensino médio (2º Grau) incompleto,-
Feminino,57,Parda,Sim,Ensino superior completo,Pedagogia
Masculino,46,Branca,Sim,Ensino superior incompleto,-
Feminino,44,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,49,Parda,Sim,Especialização,Enfermagem
Feminino,62,Branca,Não,Especialização,Administração
Masculino,34,Amarela,Sim,Ensino superior incompleto,-
Feminino,37,Branca,Sim,Especialização,Pedagogia
Feminino,35,Parda,Não,Ensino superior incompleto,-
Feminino,44,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,27,Parda,Sim,Ensino superior completo,Direito
Feminino,37,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,37,Branca,Não,Especialização,Pedagogia
Feminino,46,Parda,Não,Ensino médio (2º Grau) completo,-
Masculino,49,Branca,Não,Especialização,Enfermagem
Masculino,44,Branca,Sim,Especialização,Administração
Feminino,53,Parda,Sim,Especialização,Direito
Feminino,46,Parda,Sim,Especialização,Pedagogia
Feminino,31,Parda,Sim,Ensino superior incompleto,-
Masculino,45,Parda,Sim,Ensino superior completo,Administração
Masculino,51,Parda,Não,Ensino superior incompleto,-
Feminino,34,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,34,Branca,Sim,Ensino superior incompleto,-
Feminino,43,Branca,Sim,Ensino superior incompleto,-
Feminino,38,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,50,Branca,Sim,Ensino superior incompleto,-
Masculino,0,Parda,Não,Ensino superior completo,Pedagogia
Feminino,48,Branca,Sim,Ensino superior completo,Nutrição
Feminino,45,Branca,Não,Especialização,Administração
Feminino,47,Branca,Sim,Ensino superior completo,Sociologia
Feminino,54,Parda,Sim,Ensino superior completo,Administração
Feminino,35,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,48,Parda,Sim,Especialização,Pedagogia
Feminino,37,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,68,Parda,Sim,Mestrado,Pedagogia
Feminino,45,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,55,Branca,Sim,Especialização,Psicologia
Masculino,40,Parda,Sim,Ensino superior completo,Assistência social
Masculino,34,Parda,Sim,Ensino superior completo,Assistência social
Feminino,50,Branca,Não,Mestrado,Pedagogia
Feminino,37,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,33,Branca,Sim,Ensino superior incompleto,-
Feminino,45,Parda,Sim,Ensino superior incompleto,-
Feminino,48,Branca,Sim,Especialização,Administração
Feminino,46,Parda,Sim,Especialização,Pedagogia
Feminino,34,Parda,Sim,Ensino superior completo,Direito
Feminino,55,Branca,Sim,Ensino superior completo,Enfermagem
Feminino,57,Branca,Sim,Especialização,Administração
Feminino,51,Parda,Não,Especialização,Enfermagem
Masculino,52,Branca,Não,Ensino superior completo,Administração
Feminino,50,Parda,Sim,Especialização,Enfermagem
Masculino,44,Parda,Não,Especialização,Sociologia
Feminino,50,Branca,Sim,Especialização,Jornalismo
Feminino,32,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,41,Branca,Sim,Especialização,Pedagogia
Feminino,36,Parda,Sim,Mestrado,Medicina
Feminino,62,Branca,Sim,Especialização,Pedagogia
Feminino,49,Branca,Sim,Ensino superior completo,Sociologia
Masculino,62,Branca,Sim,Ensino superior completo,Administração
Masculino,49,Parda,Sim,Mestrado,Administração
Feminino,69,Parda,Não,Especialização,Terapia ocupacional
Feminino,27,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,49,Branca,Sim,Especialização,Pedagogia
Masculino,35,Branca,Não,Especialização,Assistência social
Feminino,35,Branca,Sim,Especialização,Direito
Feminino,47,Branca,Sim,Ensino superior completo,Pedagogia
Masculino,43,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,64,Parda,Sim,Especialização,Pedagogia
Feminino,60,Branca,Não,Ensino superior incompleto,-
Masculino,38,Branca,Não,Ensino superior completo,Administração
Feminino,58,Parda,Sim,Especialização,Pedagogia
Feminino,39,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,33,Branca,Sim,Especialização,Pedagogia
Feminino,0,Parda,Não,Ensino superior completo,Administração
Feminino,36,Parda,Sim,Ensino superior completo,Direito
Masculino,30,Parda,Sim,Especialização,Assistência social
Feminino,40,Parda,Sim,Ensino superior incompleto,-
Masculino,55,Branca,Não,Ensino médio (2º Grau) completo,-
Masculino,41,Branca,Sim,Especialização,Administração
Feminino,31,Branca,Sim,Especialização,Pedagogia
Feminino,60,Branca,Não,Ensino superior completo,Pedagogia
Feminino,30,Branca,Sim,Especialização,Administração
Feminino,44,Parda,Sim,Especialização,Sociologia
Feminino,22,Branca,Não,Ensino superior incompleto,-
Masculino,30,Parda,Sim,Ensino superior incompleto,-
Feminino,51,Parda,Não,Especialização,Psicologia
Masculino,33,Parda,Sim,Especialização,Pedagogia
Masculino,34,Branca,Sim,Especialização,Administração
Masculino,41,Branca,Sim,Ensino superior completo,Administração
Masculino,47,Parda,Não,Ensino superior completo,Pedagogia
Feminino,33,Parda,Sim,Especialização,Sociologia
Masculino,34,Parda,Não,Ensino superior completo,Administração
Feminino,41,Branca,Sim,Especialização,Nutrição
Feminino,41,Branca,Sim,Especialização,Pedagogia
Feminino,29,Parda,Sim,Mestrado,Psicologia
Feminino,42,Branca,Sim,Ensino médio (2º Grau) completo,-
Feminino,40,Parda,Não,Ensino superior completo,Pedagogia
Masculino,42,Branca,Sim,Especialização,Administração
Feminino,35,Parda,Não,Ensino superior completo,Enfermagem
Feminino,37,Branca,Sim,Especialização,Pedagogia
Masculino,39,Branca,Não,Especialização,Nutrição
Feminino,56,Parda,Não,Ensino superior completo,Assistência social
Feminino,65,Branca,Sim,Ensino superior completo,Administração
Feminino,55,Parda,Não,Especialização,Assistência social
Feminino,53,Branca,Sim,Especialização,Administração
Masculino,44,Branca,Sim,Especialização,Administração
Feminino,34,Parda,Não,Ensino superior completo,Pedagogia
Feminino,35,Parda,Não,Especialização,Pedagogia
Feminino,44,Parda,Sim,Especialização,Direito
Feminino,61,Amarela,Não,Ensino superior completo,Administração
Masculino,23,Parda,Sim,Ensino superior incompleto,-
Feminino,44,Branca,Sim,Ensino médio (2º Grau) completo,-
Masculino,62,Branca,Sim,Ensino superior completo,Medicina
Feminino,43,Branca,Sim,Especialização,Pedagogia
Feminino,42,Branca,Não,Ensino superior completo,Administração
Masculino,51,Branca,Não,Doutorado,Medicina
Feminino,39,Parda,Sim,Especialização,Pedagogia
Masculino,49,Branca,Sim,Ensino superior completo,Enfermagem
Masculino,41,Branca,Sim,Especialização,Enfermagem
Feminino,26,Parda,Sim,Ensino superior completo,Sociologia
Masculino,58,Parda,Sim,Ensino superior completo,Administração
Masculino,61,Parda,Não,Ensino superior completo,Medicina
Feminino,52,Branca,Sim,Mestrado,Pedagogia
Masculino,46,Parda,Sim,Ensino superior completo,Assistência social
Feminino,36,Branca,Não,Especialização,Pedagogia
Masculino,38,Branca,Sim,Ensino superior completo,Assistência social
Feminino,62,Parda,Sim,Especialização,Pedagogia
Masculino,28,Parda,Sim,Especialização,Enfermagem
Feminino,37,Parda,Sim,Especialização,Pedagogia
Feminino,56,Branca,Sim,Mestrado,Medicina
Feminino,43,Parda,Sim,Especialização,Pedagogia
Masculino,54,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,48,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,58,Parda,Sim,Especialização,Administração
Masculino,53,Branca,Sim,Ensino superior incompleto,-
Feminino,29,Branca,Não,Especialização,Administração
Feminino,51,Parda,Não,Ensino superior incompleto,-
Masculino,26,Parda,Sim,Mestrado,Administração
Feminino,38,Branca,Não,Ensino superior completo,Jornalismo
Masculino,45,Parda,Sim,Ensino superior incompleto,-
Feminino,58,Branca,Não,Especialização,Enfermagem
Feminino,28,Parda,Sim,Especialização,Pedagogia
Feminino,34,Amarela,Não,Especialização,Medicina
Feminino,42,Parda,Sim,Ensino superior completo,Administração
Feminino,33,Branca,Sim,Especialização,Pedagogia
Masculino,38,Parda,Sim,Doutorado,Administração
Masculino,40,Parda,Sim,Especialização,Administração
Feminino,28,Parda,Sim,Ensino superior completo,Enfermagem
Masculino,57,Parda,Sim,Ensino superior incompleto,-
Masculino,58,Branca,Sim,Especialização,Sociologia
Feminino,36,Parda,Sim,Especialização,Sociologia
Feminino,62,Branca,Não,Ensino superior completo,Administração
Masculino,32,Parda,Sim,Ensino superior completo,Administração
Feminino,35,Parda,Não,Especialização,Enfermagem
Feminino,33,Parda,Não,Ensino superior incompleto,-
Masculino,44,Parda,Sim,Ensino superior completo,Medicina
Feminino,31,Branca,Sim,Especialização,Pedagogia
Masculino,49,Parda,Não,Ensino fundamental (1º Grau) completo,-
Feminino,38,Branca,Não,Ensino superior completo,Direito
Feminino,40,Parda,Não,Ensino superior completo,Assistência social
Feminino,38,Parda,Sim,Ensino superior completo,Nutrição
Feminino,41,Parda,Sim,Ensino superior completo,Sociologia
Feminino,45,Branca,Sim,Especialização,Jornalismo
Feminino,52,Branca,Sim,Mestrado,Administração
Feminino,51,Parda,Sim,Especialização,Administração
Feminino,45,Parda,Não,Ensino superior completo,Psicologia
Masculino,32,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,54,Parda,Sim,Especialização,Psicologia
Masculino,65,Branca,Sim,Doutorado,Medicina
Feminino,31,Parda,Sim,Ensino superior completo,Administração
Feminino,41,Parda,Sim,Especialização,Pedagogia
Feminino,53,Branca,Sim,Especialização,Enfermagem
Masculino,45,Branca,Sim,Mestrado,Administração
Feminino,36,Branca,Não,Ensino superior incompleto,-
Feminino,32,Parda,Sim,Especialização,Sociologia
Feminino,38,Branca,Não,Ensino superior completo,Pedagogia
Feminino,47,Branca,Não,Especialização,Administração
Masculino,63,Branca,Sim,Ensino superior completo,Assistência social
Feminino,35,Branca,Sim,Especialização,Pedagogia
Feminino,56,Parda,Sim,Especialização,Direito
Masculino,49,Parda,Sim,Ensino superior completo,Jornalismo
Feminino,42,Preta,Não,Especialização,Psicologia
Feminino,29,Parda,Sim,Especialização,Pedagogia
Feminino,40,Branca,Sim,Ensino superior completo,Assistência social
Feminino,48,Branca,Sim,Ensino superior incompleto,-
Feminino,52,Parda,Não,Especialização,Sociologia
Masculino,40,Branca,Não,Ensino superior completo,Administração
Feminino,34,Parda,Sim,Especialização,Pedagogia
Masculino,59,Branca,Sim,Ensino superior completo,Medicina
Masculino,44,Branca,Não,Ensino médio (2º Grau) completo,-
Feminino,37,Branca,Sim,Especialização,Administração
Feminino,63,Branca,Sim,Ensino médio (2º Grau) completo,-
Feminino,29,Indígena,Sim,Especialização,Administração
Feminino,41,Branca,Não,Especialização,Assistência social
Feminino,51,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,34,Parda,Sim,Especialização,Enfermagem
Feminino,36,Branca,Sim,Especialização,Pedagogia
Masculino,56,Parda,Sim,Ensino superior completo,Assistência social
Feminino,30,Branca,Sim,Especialização,Pedagogia
Masculino,57,Parda,Sim,Mestrado,Enfermagem
Masculino,40,Parda,Sim,Ensino superior incompleto,-
Masculino,48,Branca,Não,Ensino superior completo,Administração
Feminino,48,Parda,Não,Ensino superior incompleto,-
Feminino,53,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,38,Branca,Sim,Especialização,Pedagogia
Masculino,57,Branca,Não,Especialização,Enfermagem
Feminino,33,Branca,Sim,Especialização,Enfermagem
Feminino,47,Branca,Não,Especialização,Psicologia
Masculino,42,Branca,Não,Especialização,Pedagogia
Masculino,30,Branca,Não,Ensino superior completo,Administração
Feminino,58,Branca,Sim,Especialização,Pedagogia
Masculino,26,Parda,Não,Ensino superior completo,Assistência social
Feminino,44,Branca,Sim,Ensino superior completo,Pedagogia
Masculino,45,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,38,Parda,Sim,Ensino superior completo,Administração
Feminino,28,Branca,Sim,Especialização,Assistência social
Masculino,47,Branca,Sim,Doutorado,Medicina
Feminino,53,Branca,Sim,Especialização,Direito
Feminino,42,Parda,Sim,Ensino superior completo,Administração
Feminino,40,Parda,Não,Especialização,Administração
Masculino,64,Parda,Sim,Ensino superior completo,Enfermagem
Masculino,47,Parda,Não,Ensino superior incompleto,-
Masculino,28,Parda,Sim,Ensino superior completo,Pedagogia
Feminino,34,Parda,Não,Especialização,Nutrição
Masculino,40,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,31,Branca,Sim,Ensino superior completo,Administração
Feminino,42,Parda,Sim,Ensino superior incompleto,-
Masculino,60,Branca,Não,Ensino superior completo,Administração
Feminino,39,Parda,Sim,Especialização,Administração
Feminino,31,Parda,Sim,Especialização,Pedagogia
Feminino,44,Parda,Sim,Especialização,Sociologia
Masculino,41,Branca,Sim,Ensino superior incompleto,-
Feminino,45,Branca,Sim,Ensino superior completo,Administração
Feminino,32,Branca,Não,Especialização,Pedagogia
Feminino,39,Branca,Sim,Especialização,Administração
Masculino,48,Parda,Não,Ensino superior incompleto,-
Feminino,42,Branca,Sim,Especialização,Pedagogia
Feminino,37,Branca,Não,Especialização,Jornalismo
Feminino,31,Branca,Sim,Ensino superior completo,Pedagogia
Masculino,38,Parda,Sim,Especialização,Enfermagem
Feminino,39,Branca,Não,Ensino superior completo,Pedagogia
Feminino,52,Branca,Não,Ensino superior completo,Sociologia
Feminino,32,Branca,Não,Especialização,Enfermagem
Masculino,53,Branca,Sim,Especialização,Assistência social
Feminino,29,Parda,Sim,Especialização,Pedagogia
Masculino,67,Parda,Não,Especialização,Medicina
Feminino,37,Parda,Sim,Especialização,Administração
Feminino,48,Branca,Sim,Ensino superior completo,Direito
Masculino,36,Branca,Não,Ensino superior incompleto,-
Feminino,46,Parda,Sim,Ensino superior incompleto,-
Masculino,42,Parda,Não,Ensino superior completo,Assistência social
Feminino,40,Parda,Sim,Especialização,Pedagogia
Masculino,52,Branca,Sim,Mestrado,Assistência social
Feminino,36,Branca,Sim,Especialização,Pedagogia
Feminino,53,Parda,Sim,Ensino superior completo,Administração
Feminino,29,Parda,Sim,Especialização,Pedagogia
Feminino,29,Parda,Sim,Ensino superior completo,Administração
Masculino,32,Branca,Sim,Especialização,Assistência social
Masculino,53,Parda,Não,Ensino superior completo,Assistência social
Feminino,53,Parda,Não,Especialização,Administração
Feminino,41,Branca,Sim,Mestrado,Psicologia
Feminino,32,Parda,Não,Especialização,Direito
Feminino,35,Parda,Sim,Especialização,Jornalismo
Masculino,48,Parda,Não,Ensino superior completo,Administração
Masculino,34,Parda,Não,Especialização,Pedagogia
Feminino,43,Branca,Sim,Ensino superior incompleto,-
Feminino,56,Branca,Sim,Ensino superior completo,Psicologia
Feminino,51,Parda,Sim,Especialização,Pedagogia
Feminino,62,Parda,Não,Especialização,Pedagogia
Feminino,37,Branca,Não,Especialização,Pedagogia
Masculino,34,Indígena,Sim,Especialização,Pedagogia
Feminino,36,Branca,Sim,Especialização,Administração
Masculino,33,Parda,Não,Especialização,Assistência social
Feminino,45,Parda,Sim,Especialização,Assistência social
Feminino,49,Branca,Sim,Especialização,Direito
Feminino,31,Branca,Sim,Ensino superior completo,Pedagogia
Feminino,40,Branca,Sim,Ensino superior completo,Direito
Masculino,54,Parda,Sim,Ensino superior completo,Assistência social
Masculino,29,Branca,Não,Ensino superior completo,Enfermagem
Feminino,33,Branca,Sim,Ensino superior completo,Pedagogia
Masculino,38,Parda,Sim,Especialização,Pedagogia
Feminino,31,Branca,Não,Especialização,Pedagogia
Feminino,37,Parda,Sim,Ensino superior completo,Administração
Masculino,37,Preta,Não,Ensino superior completo,Administração
Feminino,30,Parda,Sim,Ensino superior completo,Assistência social
Feminino,52,Branca,Sim,Ensino superior completo,Sociologia
Masculino,47,Parda,Sim,Ensino superior completo,Administração
Feminino,38,Parda,Sim,Ensino superior completo,Administração
Feminino,37,Parda,Sim,Ensino superior completo,Administração
Feminino,48,Parda,Sim,Ensino médio (2º Grau) completo,-
Masculino,41,Parda,Sim,Ensino superior completo,Administração
Masculino,51,Parda,Sim,Ensino superior completo,Enfermagem
Feminino,39,Branca,Sim,Especialização,Administração
Masculino,39,Parda,Sim,Ensino superior completo,Administração
Feminino,37,Branca,Não,Mestrado,Enfermagem
Masculino,36,Parda,Não,Ensino superior completo,Jornalismo
Feminino,54,Parda,Sim,Ensino superior completo,Psicologia
Masculino,45,Branca,Não,Ensino superior completo,Pedagogia
Masculino,38,Parda,Sim,Especialização,Enfermagem
Masculino,45,Parda,Sim,Especialização,Administração
Feminino,41,Parda,Sim,Ensino superior completo,Psicologia
Feminino,46,Parda,Não,Ensino superior completo,Administração
Masculino,53,Parda,Sim,Ensino médio (2º Grau) completo,-
Feminino,39,Parda,Não,Ensino superior completo,Direito
Feminino,37,Branca,Não,Especialização,Jornalismo
Feminino,53,Parda,Sim,Especialização,Sociologia
Feminino,43,Branca,Sim,Ensino superior completo,Administração
Feminino,37,Parda,Não,Especialização,Enfermagem
Masculino,41,Preta,Sim,Ensino superior incompleto,-
Feminino,55,Preta,Sim,Ensino superior completo,Enfermagem
Feminino,44,Branca,Sim,Ensino superior completo,Pedagogia
Masculino,41,Branca,Sim,Especialização,Administração
Masculino,39,Parda,Sim,Ensino superior incompleto,-
Feminino,48,Branca,Sim,Ensino superior completo,Assistência social
Feminino,45,Branca,Sim,Especialização,Enfermagem
Feminino,45,Branca,Sim,Especialização,Psicologia
Masculino,73,Parda,Não,Ensino superior completo,Jornalismo
Masculino,57,Parda,Não,Ensino superior completo,Administração
Feminino,59,Branca,Sim,Ensino superior completo,Sociologia
Masculino,49,Parda,Não,Especialização,Administração
Masculino,50,Branca,Não,Especialização,Assistência social
Feminino,36,Parda,Não,Ensino médio (2º Grau) completo,-
Feminino,38,Branca,Sim,Ensino superior incompleto,-
Feminino,42,Parda,Sim,Ensino superior completo,Administração
Feminino,59,Preta,Sim,Especialização,Pedagogia
